0.001,0.5,0.008,545959,756,3160,30,0,-1,-1,757,80,98,26,0,-1,-1,193,6992,1171,976,842,471,151,-1,-1,1050,11659,2011-09-13
0.002,0.5,0.008,545959,355,3160,30,0,-1,-1,356,80,98,26,0,-1,-1,193,5972,1163,896,657,645,153,-1,-1,1039,10530,2011-09-13
0.003,0.5,0.008,545959,245,3160,30,0,-1,-1,246,80,98,26,0,-1,-1,193,5820,1161,767,671,664,152,-1,-1,1048,10289,2011-09-13
0.004,0.5,0.008,545959,179,2701,22,0,-1,-1,180,74,86,18,0,-1,-1,168,5912,1178,726,633,902,152,-1,-1,957,10466,2011-09-13
0.005,0.5,0.008,545959,142,1035,10,0,-1,-1,143,46,45,9,0,-1,-1,92,5590,1168,675,536,1292,152,-1,-1,797,10216,2011-09-13
0.006,0.5,0.008,545959,97,300,7,0,-1,-1,98,25,25,5,0,-1,-1,49,6102,1172,738,475,643,151,-1,-1,1080,10366,2011-09-13
0.007,0.5,0.008,545959,57,120,4,0,-1,-1,58,16,17,1,0,-1,-1,28,5709,1166,671,452,808,152,-1,-1,706,9670,2011-09-13
0.008,0.5,0.008,545959,44,66,4,0,-1,-1,45,12,14,1,0,-1,-1,21,5988,1167,613,446,593,157,-1,-1,638,9608,2011-09-13
0.009,0.5,0.008,545959,32,55,3,0,-1,-1,33,11,12,1,0,-1,-1,18,6152,1162,656,445,722,149,-1,-1,625,9917,2011-09-13
0.01,0.5,0.008,545959,25,55,3,0,-1,-1,26,11,11,1,0,-1,-1,17,5501,1181,578,447,583,163,-1,-1,581,9040,2011-09-13
0.02,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,4,0,-1,-1,-1,6,5892,1167,569,437,338,-1,-1,-1,447,8857,2011-09-13
0.03,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,3,0,-1,-1,-1,6,6041,1171,572,434,339,-1,-1,-1,435,8998,2011-09-13
0.04,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,6056,1170,568,422,335,-1,-1,-1,411,8968,2011-09-13
0.05,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,5915,1164,574,422,338,-1,-1,-1,409,8828,2011-09-13
0.06,0.5,0.008,545959,6,6,0,-1,-1,-1,7,4,2,0,-1,-1,-1,4,6791,1162,612,528,337,-1,-1,-1,415,9851,2011-09-13
0.07,0.5,0.008,545959,6,3,0,-1,-1,-1,7,3,2,0,-1,-1,-1,3,6304,1172,575,558,349,-1,-1,-1,417,9380,2011-09-13
0.08,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,5864,1166,609,557,333,-1,-1,-1,620,9156,2011-09-13
0.09,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,6113,1174,612,555,334,-1,-1,-1,628,9422,2011-09-13
0.1,0.5,0.08,545959,4,1,-1,-1,-1,-1,5,2,0,-1,-1,-1,-1,2,5421,1159,581,411,-1,-1,-1,-1,629,8207,2011-09-13
0.4,0.5,0.08,545959,2,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,0,6099,1165,550,-1,-1,-1,-1,-1,157,7976,2011-09-13
0.001,0.5,0.008,545959,756,3160,30,0,-1,-1,757,80,98,26,0,-1,-1,193,5660,1168,975,832,470,151,-1,-1,1041,10304,2011-09-13
0.002,0.5,0.008,545959,355,3160,30,0,-1,-1,356,80,98,26,0,-1,-1,193,6093,1173,892,655,646,152,-1,-1,1039,10657,2011-09-13
0.003,0.5,0.008,545959,245,3160,30,0,-1,-1,246,80,98,26,0,-1,-1,193,6304,1178,778,669,660,153,-1,-1,1048,10796,2011-09-13
0.004,0.5,0.008,545959,179,2701,22,0,-1,-1,180,74,86,18,0,-1,-1,168,6238,1174,757,634,900,152,-1,-1,970,10832,2011-09-13
0.005,0.5,0.008,545959,142,1035,10,0,-1,-1,143,46,45,9,0,-1,-1,92,5671,1178,669,533,1292,152,-1,-1,798,10300,2011-09-13
0.006,0.5,0.008,545959,97,300,7,0,-1,-1,98,25,25,5,0,-1,-1,49,6057,1175,657,478,642,152,-1,-1,1088,10255,2011-09-13
0.007,0.5,0.008,545959,57,120,4,0,-1,-1,58,16,17,1,0,-1,-1,28,6096,1172,664,451,810,153,-1,-1,703,10056,2011-09-13
0.008,0.5,0.008,545959,44,66,4,0,-1,-1,45,12,14,1,0,-1,-1,21,6191,1161,677,451,597,153,-1,-1,677,9912,2011-09-13
0.009,0.5,0.008,545959,32,55,3,0,-1,-1,33,11,12,1,0,-1,-1,18,6132,1166,643,446,734,149,-1,-1,621,9897,2011-09-13
0.01,0.5,0.008,545959,25,55,3,0,-1,-1,26,11,11,1,0,-1,-1,17,6497,1170,581,444,580,164,-1,-1,578,10021,2011-09-13
0.02,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,4,0,-1,-1,-1,6,5495,1168,618,433,339,-1,-1,-1,463,8521,2011-09-13
0.03,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,3,0,-1,-1,-1,6,5847,1176,569,434,340,-1,-1,-1,433,8805,2011-09-13
0.04,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,5531,1172,569,435,339,-1,-1,-1,425,8475,2011-09-13
0.05,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,6452,1161,568,421,338,-1,-1,-1,412,9357,2011-09-13
0.06,0.5,0.008,545959,6,6,0,-1,-1,-1,7,4,2,0,-1,-1,-1,4,6454,1162,573,536,338,-1,-1,-1,415,9483,2011-09-13
0.07,0.5,0.008,545959,6,3,0,-1,-1,-1,7,3,2,0,-1,-1,-1,3,5681,1173,572,556,348,-1,-1,-1,423,8759,2011-09-13
0.08,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,6314,1184,614,566,348,-1,-1,-1,400,9432,2011-09-13
0.09,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,6711,1171,610,564,349,-1,-1,-1,401,9812,2011-09-13
0.1,0.5,0.08,545959,4,1,-1,-1,-1,-1,5,2,0,-1,-1,-1,-1,2,6509,1177,580,407,-1,-1,-1,-1,623,9302,2011-09-13
0.4,0.5,0.08,545959,2,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,0,6176,1162,612,-1,-1,-1,-1,-1,154,8111,2011-09-13
0.001,0.5,0.008,545959,756,3160,30,0,-1,-1,757,80,98,26,0,-1,-1,193,6303,1156,969,830,470,152,-1,-1,1047,10933,2011-09-13
0.002,0.5,0.008,545959,355,3160,30,0,-1,-1,356,80,98,26,0,-1,-1,193,6095,1173,900,668,651,153,-1,-1,1040,10686,2011-09-13
0.003,0.5,0.008,545959,245,3160,30,0,-1,-1,246,80,98,26,0,-1,-1,193,6261,1169,761,659,650,154,-1,-1,1042,10703,2011-09-13
0.004,0.5,0.008,545959,179,2701,22,0,-1,-1,180,74,86,18,0,-1,-1,168,6050,1166,755,633,896,152,-1,-1,959,10618,2011-09-13
0.005,0.5,0.008,545959,142,1035,10,0,-1,-1,143,46,45,9,0,-1,-1,92,5795,1169,671,533,1297,151,-1,-1,792,10414,2011-09-13
0.006,0.5,0.008,545959,97,300,7,0,-1,-1,98,25,25,5,0,-1,-1,49,6107,1160,680,482,642,151,-1,-1,1084,10312,2011-09-13
0.007,0.5,0.008,545959,57,120,4,0,-1,-1,58,16,17,1,0,-1,-1,28,5769,1171,667,453,802,153,-1,-1,704,9726,2011-09-13
0.008,0.5,0.008,545959,44,66,4,0,-1,-1,45,12,14,1,0,-1,-1,21,5657,1174,662,444,595,151,-1,-1,669,9358,2011-09-13
0.009,0.5,0.008,545959,32,55,3,0,-1,-1,33,11,12,1,0,-1,-1,18,6322,1157,645,447,728,150,-1,-1,627,10081,2011-09-13
0.01,0.5,0.008,545959,25,55,3,0,-1,-1,26,11,11,1,0,-1,-1,17,5711,1177,577,444,582,163,-1,-1,580,9240,2011-09-13
0.02,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,4,0,-1,-1,-1,6,6448,1179,574,447,339,-1,-1,-1,467,9460,2011-09-13
